l,T,S,
0.1, 0.1,0.120168, 
0.1, 0.2,0.136895, 
0.1, 0.3,0.110821, 
0.1, 0.4,0.147026, 
0.1, 0.5,0.140855, 
0.1, 0.6,0.0993039, 
0.1, 0.7,0.163758, 
0.1, 0.8,0.0991027, 
0.1, 0.9,0.176359, 
0.1, 1,0.0988725, 
0.1, 1.1,0.129379, 
0.1, 1.2,0.082453, 
0.1, 1.3,0.091964, 
0.1, 1.4,0.114568, 
0.1, 1.5,0.155217, 
0.1, 1.6,0.117506, 
0.1, 1.7,0.0764439, 
0.1, 1.8,0.132372, 
0.1, 1.9,0.0781812, 
0.1, 2,0.123545, 
0.1, 2.1,0.102005, 
0.1, 2.2,0.117321, 
0.1, 2.3,0.0903266, 
0.1, 2.4,0.0681067, 
0.1, 2.5,0.149123, 
0.1, 2.6,0.0807758, 
0.1, 2.7,0.161127, 
0.1, 2.8,0.112613, 
0.1, 2.9,0.102228, 
0.1, 3,0.0850584, 
0.1, 3.1,0.0952933, 
0.1, 3.2,0.131534, 
0.1, 3.3,0.124851, 
0.1, 3.4,0.0939258, 
0.1, 3.5,0.106228, 
0.1, 3.6,0.0885486, 
0.1, 3.7,0.071427, 
0.1, 3.8,0.15536, 
0.1, 3.9,0.0828224, 
0.1, 4,0.0916509, 
0.1, 4.1,0.0983763, 
0.1, 4.2,0.0966449, 
0.1, 4.3,0.0420029, 
0.1, 4.4,0.0954401, 
0.1, 4.5,0.0953996, 
0.1, 4.6,0.129529, 
0.1, 4.7,0.0814468, 
0.1, 4.8,0.0454594, 
0.1, 4.9,0.0568135, 
0.1, 5,0.046772, 
0.2, 0.1,0.138891, 
0.2, 0.2,0.0875181, 
0.2, 0.3,0.12372, 
0.2, 0.4,0.113834, 
0.2, 0.5,0.154679, 
0.2, 0.6,0.129866, 
0.2, 0.7,0.100125, 
0.2, 0.8,0.125176, 
0.2, 0.9,0.103404, 
0.2, 1,0.100348, 
0.2, 1.1,0.118466, 
0.2, 1.2,0.123985, 
0.2, 1.3,0.0968624, 
0.2, 1.4,0.0957079, 
0.2, 1.5,0.0877194, 
0.2, 1.6,0.0680052, 
