l,T,S,
0.1, 0.1,0.100442, 
0.1, 0.2,0.147546, 
0.1, 0.3,0.14445, 
0.1, 0.4,0.156362, 
0.1, 0.5,0.165444, 
0.1, 0.6,0.0923052, 
0.1, 0.7,0.155923, 
0.1, 0.8,0.107424, 
0.1, 0.9,0.150241, 
0.1, 1,0.0837034, 
0.1, 1.1,0.129282, 
0.1, 1.2,0.132056, 
0.1, 1.3,0.123693, 
0.1, 1.4,0.115121, 
0.1, 1.5,0.106283, 
0.1, 1.6,0.17364, 
0.1, 1.7,0.0733882, 
0.1, 1.8,0.0964623, 
0.1, 1.9,0.10134, 
0.1, 2,0.119424, 
0.1, 2.1,0.0564387, 
0.1, 2.2,0.151322, 
0.1, 2.3,0.113109, 
0.1, 2.4,0.12015, 
0.1, 2.5,0.0439627, 
0.1, 2.6,0.103568, 
0.1, 2.7,0.0592923, 
0.1, 2.8,0.104901, 
0.1, 2.9,0.0342219, 
0.1, 3,0.111695, 
0.1, 3.1,0.103298, 
0.1, 3.2,0.0815217, 
0.1, 3.3,0.106043, 
0.1, 3.4,0.115395, 
0.1, 3.5,0.0716628, 
0.1, 3.6,0.0893378, 
0.1, 3.7,0.161783, 
0.1, 3.8,0.110896, 
0.1, 3.9,0.0822557, 
0.1, 4,0.077337, 
0.1, 4.1,0.050027, 
0.1, 4.2,0.118357, 
0.1, 4.3,0.0545867, 
0.1, 4.4,0.153642, 
0.1, 4.5,0.119422, 
0.1, 4.6,0.132802, 
0.1, 4.7,0, 
0.1, 4.8,0.120696, 
0.1, 4.9,0.0469206, 
0.1, 5,0.0433838, 
0.2, 0.1,0.106273, 
0.2, 0.2,0.115387, 
0.2, 0.3,0.138513, 
0.2, 0.4,0.103374, 
0.2, 0.5,0.101093, 
0.2, 0.6,0.135737, 
0.2, 0.7,0.0774409, 
0.2, 0.8,0.113193, 
0.2, 0.9,0.124836, 
0.2, 1,0.11637, 
0.2, 1.1,0.0978287, 
0.2, 1.2,0.168058, 
0.2, 1.3,0.185747, 
0.2, 1.4,0.0981897, 
0.2, 1.5,0.104437, 
0.2, 1.6,0.110333, 
0.2, 1.7,0.0453671, 
0.2, 1.8,0.0561612, 
0.2, 1.9,0.087418, 
0.2, 2,0.0428313, 
0.2, 2.1,0.0477856, 
0.2, 2.2,0.0527335, 
0.2, 2.3,0.133719, 
0.2, 2.4,0.0558166, 
0.2, 2.5,0.0765223, 
0.2, 2.6,0.231827, 
0.2, 2.7,0.0481013, 
0.2, 2.8,0.110351, 
0.2, 2.9,0.0507487, 
0.2, 3,0.06594, 
0.2, 3.1,0.089419, 
0.2, 3.2,0.0617752, 
0.2, 3.3,0.0968911, 
0.2, 3.4,0.120657, 
0.2, 3.5,0.145261, 
0.2, 3.6,0.128156, 
0.2, 3.7,0.152604, 
0.2, 3.8,0, 
0.2, 3.9,0.126474, 
0.2, 4,0.0647018, 
0.2, 4.1,0, 
0.2, 4.2,0, 
0.2, 4.3,0.0786673, 
0.2, 4.4,0.0687863, 
0.2, 4.5,0.0784407, 
0.2, 4.6,0.118168, 
0.2, 4.7,0.0817964, 
0.2, 4.8,0, 
0.2, 4.9,0.144436, 
0.2, 5,0.08614, 
0.3, 0.1,0.142687, 
0.3, 0.2,0.119294, 
0.3, 0.3,0.131836, 
0.3, 0.4,0.105851, 
0.3, 0.5,0.110477, 
0.3, 0.6,0.10638, 
0.3, 0.7,0.137212, 
0.3, 0.8,0.146969, 
0.3, 0.9,0.0820548, 
0.3, 1,0.0338842, 
0.3, 1.1,0.103361, 
0.3, 1.2,0.0833946, 
0.3, 1.3,0.0856396, 
0.3, 1.4,0, 
0.3, 1.5,0.144679, 
0.3, 1.6,0.0997459, 
0.3, 1.7,0.0508579, 
0.3, 1.8,0.0566878, 
0.3, 1.9,0.169711, 
0.3, 2,0.0464053, 
0.3, 2.1,0.0591869, 
0.3, 2.2,0.128209, 
0.3, 2.3,0, 
0.3, 2.4,0.131997, 
0.3, 2.5,0.0639577, 
0.3, 2.6,0.0461776, 
0.3, 2.7,0, 
0.3, 2.8,0.165041, 
0.3, 2.9,0.0675244, 
0.3, 3,0, 
0.3, 3.1,0.150802, 
0.3, 3.2,0, 
0.3, 3.3,0.0836028, 
0.3, 3.4,0, 
0.3, 3.5,0, 
0.3, 3.6,0, 
0.3, 3.7,0.155728, 
0.3, 3.8,0.0905254, 
0.3, 3.9,0, 
0.3, 4,0.0982029, 
0.3, 4.1,0.0834513, 
0.3, 4.2,0, 
0.3, 4.3,0, 
0.3, 4.4,0.0933839, 
0.3, 4.5,0, 
0.3, 4.6,0, 
0.3, 4.7,0, 
0.3, 4.8,0.0972911, 
0.3, 4.9,0, 
0.3, 5,0, 
0.4, 0.1,0.125815, 
0.4, 0.2,0.112662, 
0.4, 0.3,0.111496, 
0.4, 0.4,0.151845, 
0.4, 0.5,0.110531, 
0.4, 0.6,0.0820321, 
0.4, 0.7,0.201105, 
0.4, 0.8,0.181923, 
0.4, 0.9,0.160956, 
0.4, 1,0.0998208, 
0.4, 1.1,0.0480803, 
0.4, 1.2,0.0848977, 
0.4, 1.3,0.152448, 
0.4, 1.4,0.0520099, 
0.4, 1.5,0.0537466, 
0.4, 1.6,0.0652392, 
0.4, 1.7,0.0752684, 
0.4, 1.8,0, 
0.4, 1.9,0.0650178, 
0.4, 2,0.067487, 
0.4, 2.1,0.0744764, 
0.4, 2.2,0.0571085, 
0.4, 2.3,0.0824198, 
0.4, 2.4,0, 
0.4, 2.5,0, 
0.4, 2.6,0.0784875, 
0.4, 2.7,0, 
0.4, 2.8,0, 
0.4, 2.9,0, 
0.4, 3,0, 
0.4, 3.1,0.0872943, 
0.4, 3.2,0.185947, 
0.4, 3.3,0.0977156, 
0.4, 3.4,0, 
0.4, 3.5,0, 
0.4, 3.6,0, 
0.4, 3.7,0.109733, 
0.4, 3.8,0, 
0.4, 3.9,0, 
0.4, 4,0.103114, 
0.4, 4.1,0, 
0.4, 4.2,0, 
0.4, 4.3,0.102121, 
0.4, 4.4,0.105206, 
0.4, 4.5,0, 
0.4, 4.6,0, 
0.4, 4.7,0, 
0.4, 4.8,0, 
0.4, 4.9,0, 
0.4, 5,0.123639, 
0.5, 0.1,0.110017, 
0.5, 0.2,0.137288, 
0.5, 0.3,0.113569, 
0.5, 0.4,0.0671897, 
0.5, 0.5,0.119657, 
0.5, 0.6,0.0263232, 
0.5, 0.7,0.101626, 
0.5, 0.8,0.0448316, 
0.5, 0.9,0.162239, 
0.5, 1,0.155856, 
0.5, 1.1,0.0595255, 
0.5, 1.2,0.108812, 
0.5, 1.3,0.0594483, 
0.5, 1.4,0, 
0.5, 1.5,0.0586699, 
0.5, 1.6,0.0651933, 
0.5, 1.7,0.133482, 
0.5, 1.8,0.0811805, 
0.5, 1.9,0.0904414, 
0.5, 2,0.0912966, 
0.5, 2.1,0.0716819, 
0.5, 2.2,0.077127, 
0.5, 2.3,0.223437, 
0.5, 2.4,0, 
0.5, 2.5,0.0876227, 
0.5, 2.6,0, 
0.5, 2.7,0.0953873, 
0.5, 2.8,0, 
0.5, 2.9,0, 
0.5, 3,0, 
0.5, 3.1,0, 
0.5, 3.2,0, 
0.5, 3.3,0, 
0.5, 3.4,0, 
0.5, 3.5,0.0965381, 
0.5, 3.6,0, 
0.5, 3.7,0.113154, 
0.5, 3.8,0, 
0.5, 3.9,0, 
0.5, 4,0.121065, 
0.5, 4.1,0, 
0.5, 4.2,0, 
0.5, 4.3,0, 
0.5, 4.4,0, 
0.5, 4.5,0, 
0.5, 4.6,0, 
0.5, 4.7,0, 
0.5, 4.8,0, 
0.5, 4.9,0, 
0.5, 5,0, 
0.6, 0.1,0.154263, 
0.6, 0.2,0.0694161, 
0.6, 0.3,0.060316, 
0.6, 0.4,0.0847108, 
0.6, 0.5,0.074894, 
0.6, 0.6,0.130716, 
0.6, 0.7,0, 
0.6, 0.8,0, 
0.6, 0.9,0.14429, 
0.6, 1,0.109291, 
0.6, 1.1,0.113333, 
0.6, 1.2,0.0660169, 
0.6, 1.3,0.0764495, 
0.6, 1.4,0.0653332, 
0.6, 1.5,0, 
0.6, 1.6,0.0747885, 
0.6, 1.7,0, 
0.6, 1.8,0.0761694, 
0.6, 1.9,0, 
0.6, 2,0.0927081, 
0.6, 2.1,0, 
0.6, 2.2,0, 
0.6, 2.3,0.0891437, 
0.6, 2.4,0, 
0.6, 2.5,0.108033, 
0.6, 2.6,0, 
0.6, 2.7,0.10549, 
0.6, 2.8,0, 
0.6, 2.9,0, 
0.6, 3,0, 
0.6, 3.1,0.119589, 
0.6, 3.2,0, 
0.6, 3.3,0.109058, 
0.6, 3.4,0, 
0.6, 3.5,0, 
0.6, 3.6,0.116318, 
0.6, 3.7,0, 
0.6, 3.8,0.112344, 
0.6, 3.9,0.14396, 
0.6, 4,0, 
0.6, 4.1,0, 
0.6, 4.2,0, 
0.6, 4.3,0, 
0.6, 4.4,0, 
0.6, 4.5,0.127764, 
0.6, 4.6,0, 
0.6, 4.7,0, 
0.6, 4.8,0, 
